source,price,title,details,location,url,beds,sqft
craigslist,6650.0,"The rare mix of bright, peaceful, and actually well-laid-out.","$6,650

                        Murray Hill",Murray Hill,https://newyork.craigslist.org/mnh/apa/d/new-york-the-rare-mix-of-bright/7908686362.html,,
craigslist,4950.0,Chic Urban Retreat with Expansive Views and Unmatched Amenities,"$4,950

                        Murray Hill",Murray Hill,https://newyork.craigslist.org/mnh/apa/d/new-york-chic-urban-retreat-with/7908685549.html,,
craigslist,5200.0,The kind of place that makes you want to stay in instead of go out.,"$5,200

                        Chelsea",Chelsea,https://newyork.craigslist.org/mnh/apa/d/new-york-the-kind-of-place-that-makes/7908684932.html,,
craigslist,5100.0,"MASSIVE TRUE 2 Bed, 1 Bath. Modern. Bright. ALL Utilities INCLUDED!","$5,100

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-massive-true-bed-bath-modern/7908683528.html,,
craigslist,3995.0,Modern East Village 1-Bedroom with In-Unit Laundry ? No Fee,"$3,995

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-modern-east-village-bedroom/7908683029.html,,
craigslist,2000.0,Off-market studio start from $2000 1br $2200 2br $2800 3br $3500......,"$2,000

                        Chinatown/Lower East Side",Chinatown/Lower East Side,https://newyork.craigslist.org/mnh/apa/d/new-york-off-market-studio-start-from/7908683093.html,,
craigslist,3000.0,"Live Brightly in a Stunning, Spacious Apartment","$3,000

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-live-brightly-in-stunning/7908681928.html,,
craigslist,5600.0,"1 Bed With Walls of Windows, W/D in unit ,pool 24H doorman","$5,600

                        Downtown",Downtown,https://newyork.craigslist.org/mnh/apa/d/new-york-bed-with-walls-of-windows-d-in/7908675697.html,,
craigslist,5000.0,ALL NEW  2 BED 2 BATH  W/D IN UNIT 24H DOORMAN,"$5,000

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-all-new-bed-bath-d-in-unit-24h/7908675526.html,,
craigslist,4695.0,2 BD on UES/York 70s,"$4,695

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-bd-on-ues-york-70s/7908674389.html,,
craigslist,3195.0,BARGAIN OFF-MARKET SUN LIT TWO BRIDGES 2 BED DIGS___AMAZING FIND!,"$3,195

                        Lower East Side",Lower East Side,https://newyork.craigslist.org/mnh/apa/d/new-york-bargain-off-market-sun-lit-two/7908665106.html,,
craigslist,3500.0,"Manhattan Midtown West, One Bedroom One Bathroom, $3500 per month","$3,500

                        Midtown",Midtown,https://newyork.craigslist.org/mnh/apa/d/new-york-manhattan-midtown-west-one/7908656504.html,,
craigslist,750.0,Manhattan Dorm Room For Rent,"$750

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-manhattan-dorm-room-for-rent/7908652408.html,,
craigslist,2599.0,203 East 121st Street,"$2,599

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-203-east-121st-street/7908651459.html,,
craigslist,2599.0,203 East 121st Street,"$2,599

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-203-east-121st-street/7908651369.html,,
craigslist,3699.0,2183 3rd Avenue,"$3,699

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-rd-avenue/7908651307.html,,
craigslist,4995.0,"SHORT TERM: FULLY FURNISHED, BRIGHT AND ARTSY, LAUNDRY ON SITE!!!","$4,995

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-short-term-fully-furnished/7908642404.html,,
craigslist,3100.0,Astonishing Views 1 Bd 1 Bath Apt   *NO FEE*,"$3,100

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-astonishing-views-bd-bath-apt/7908633889.html,,
craigslist,2695.0,Studio with Spectactular Views 1 Bath Apt   *NO FEE*,"$2,695

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-studio-with-spectactular-views/7908633130.html,,
craigslist,5200.0,Stunning loft-style 1-bedroom duplex,"$5,200

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-loft-style-bedroom/7908622537.html,,
craigslist,2650.0,‼️NO FEE + 1 Month FREE ! Bright 1BR ! Laundry ! Renovation,"$2,650

                        East Harlem",East Harlem,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-month-free-bright-1br/7908618261.html,,
craigslist,6988.0,‼️NO FEE ! Duplex 2BR/2Bath ! Private Backyard ! W/D in unit ! AC,"$6,988

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-duplex-2br-2bath/7908617582.html,,
craigslist,2750.0,Newly renovated studio in a prime UES location,"$2,750

                        Upper East Side",Upper East Side,https://newyork.craigslist.org/mnh/apa/d/new-york-newly-renovated-studio-in/7908607767.html,,
craigslist,4300.0,"NO FEE - Lovely corner Union Sq 1br w/ elevator, laundry, VIDEO!","$4,300

                        Union Square",Union Square,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-lovely-corner-union-sq/7908598401.html,,
craigslist,1850.0,1 ROOM FOR RENT IN 2 BED APT,"$1,850

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-room-for-rent-in-bed-apt/7908581992.html,,
craigslist,4495.0,33 WEA - SPACIOUS 1 BEDROOM / FLEX 2 BED / IDEAL SHARE!,"$4,495

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-33-wea-spacious-bedroom-flex/7908581938.html,,
craigslist,14799.0,"3 Bed 2.5 Bath W/D in unit ,pool 24H doorman","$14,799

                        Downtown",Downtown,https://newyork.craigslist.org/mnh/apa/d/new-york-bed-25-bath-d-in-unit-pool-24h/7908581803.html,,
craigslist,3800.0,===HIGH FLOOR====NEW CONSTRUCTION====CONDO FINISHES=====NO FEE========,"$3,800

                        Battery Park",Battery Park,https://newyork.craigslist.org/mnh/apa/d/new-york-high-floornew/7908577520.html,,
craigslist,3450.0,HUMONGOUS==HIGH CEILING==GREAT LIGHTING==OAK WOOD FLOORS==TOP FLOOR==,"$3,450

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-humongoushigh-ceilinggreat/7908576527.html,,
craigslist,2699.0,Beautiful two bedroom! Steps from Columbia university,"$2,699

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-two-bedroom-steps/7908573236.html,,
craigslist,4950.0,REMARKABLE CONDO FINISHES=TOP FLOOR=NEW CONSTRUCTION=CITY VIEW,"$4,950

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-remarkable-condo-finishestop/7908571449.html,,
craigslist,7900.0,____13 ft ceilings___24/7 doorman_____Prime tribeca,"$7,900

                        TriBeCa",TriBeCa,https://newyork.craigslist.org/mnh/apa/d/new-york-13-ft-ceilings24-doormanprime/7908561704.html,,
craigslist,4200.0,___Renovated___South facing____Large 2-bedroom apartment flex,"$4,200

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-renovatedsouth-facinglarge/7908560046.html,,
craigslist,6250.0,_____Washer and dryer____Floor to ceiling windows____24/7 doormam,"$6,250

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-washer-and-dryerfloor-to/7908560047.html,,
craigslist,14000.0,Captivating S/W top Views*Walls of windows*13 ft. plus ceilings*Oversi,"$14,000

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-captivating-w-top-viewswalls/7908553786.html,,
craigslist,3000.0,Fully Furnished 1BR – Hell’s Kitchen – Feb 1,"$3,000

                        Manhattan – Midtown West / Hell’s Kitchen",Manhattan – Midtown West / Hell’s Kitchen,https://newyork.craigslist.org/mnh/apa/d/new-york-fully-furnished-1br-hells/7908543251.html,,
